Name,Quantity,Single Unit Price,Total Price,URL/LCSC,FALSE,Vendor (LCSC unless otheriwse indicated)
Electronics,,,,,FALSE,
C5 0603 0.1uF,40,,$0.45,C49678,FALSE,With My other two projects
SK6812MINI,40,,$2.96,C5149201,FALSE,
SEEED XIAO 2040,1,,$3.99,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html,FALSE,
PCB - JLC,,,$9.00,,FALSE,
LCSC - Shipping and handling,,,$17.38,,FALSE,
magnometer,,,$2.07,C2654971,FALSE,
JLC - Shipping,,,$10.38,,FALSE,
BSS138 (Level Shifter),1,,$0.45,C82045,FALSE,With My other two projects
0603 10K,3,,$0.11,C98220,FALSE,With My other two projects
seeedstudio shipping,,,$12.00,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,With My other two projects
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,FALSE,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,CAD,,
,,,$58.79,USD,,
,,,$58.79,Total - USD,,